# ---------------------------------------------------------------------
# XATOM HFS : electronic structure of atoms and more, v2.0.0-15-g9da229
#
# Job started at  : 15-Sep-2026 13:10:34
# ---------------------------------------------------------------------
# Atom: Ne
#   nuclear charge:   10
#   total electrons:  10
#   total charge:     +0
#   configuration: 1s2_2s2_2p6
#
# Computational method:
#   exchange functional: Slater (Latter tail correction)
#   correlation functional: none
#
# Grid for the spherical coordinate:
#   N =  200
#   L parameter =      1.0
#   Rmax(a.u.)  =     50.0
#   lmax  =    1
#
# SCF converged after   21 iterations
#   energy convergence  =  2.078E-08
#   density convergence =  4.985E-07
#
# Energies: 
# - zeroth-order energy (a.u.):
#   SUM of E_orb   =     -70.56886464  [     -1920.28 eV ]
#   (SUM of E_kin) =     132.75037885
#   (Effec. pot E) =    -203.31924349
#
# - first-order energy (a.u.): with DFT formula
#   Kinetic E      =     132.75037885
#   E Latter corr  =      -0.07669013
#   Nuc-Elec pot E =    -317.06633335    One-Elec E =    -184.39264463
#
#   Hartree E      =      68.21763872
#   Exchange E     =     -16.95862309
#   Correlation E  =       0.00000000    Two-Elec E =      51.25901563
#   ---------------------------------
#   Total Energy   =    -133.13362900  [     -3622.75 eV ]
#
#                E(0)        E(1)
# |E_TOT|    -1920.28    -3622.75
#
# Orbital energies: 
#        n_occ        E(a.u.)          E(eV)         KE(eV)
#   1s       2   -31.49465456    -857.013120    1273.910550
#   2s       2    -1.58368578     -43.094281     150.142665
#   2p       6    -0.73536400     -20.010272     127.369171
#
#              1s        2s        2p
# |SCF|   -857.01    -43.09    -20.01
#
# Radial wavefunction information (a.u.): (r_m: r_max where |u(r)| >  1.0E-08)
#              <r>       <r^2>         r_m   norm. err
#   1s       0.157       0.033       2.695     3.1E-07
#   2s       0.877       0.938      12.080    -2.4E-08
#   2p       0.933       1.168      17.390    -1.5E-08
#
# Uniform grid parameters for continuum states:
#   N_uniform             =    3488
#   continuum_rmax(a.u.)  =      17.442 (internally determined)
#   dr(a.u.)              =   5.00E-03
#   threshold to determine r_m =   1.00E-08
#   continuum_rmax is just right next to r_m in radial grid.
#
# Photoabsorption cross section (in Mb):
P.E.(eV)        Total          1s           2s           2p 
     0.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     1.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     2.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     3.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     4.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     5.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     6.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     7.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     8.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
     9.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    10.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    11.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    12.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    13.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    14.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    15.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    16.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    17.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    18.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    19.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    20.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
    21.00000  6.35376E+00  0.00000E+00  0.00000E+00  6.35376E+00
    22.00000  6.91965E+00  0.00000E+00  0.00000E+00  6.91965E+00
    23.00000  7.38923E+00  0.00000E+00  0.00000E+00  7.38923E+00
    24.00000  7.77737E+00  0.00000E+00  0.00000E+00  7.77737E+00
    25.00000  8.09651E+00  0.00000E+00  0.00000E+00  8.09651E+00
    26.00000  8.35708E+00  0.00000E+00  0.00000E+00  8.35708E+00
    27.00000  8.56784E+00  0.00000E+00  0.00000E+00  8.56784E+00
    28.00000  8.73612E+00  0.00000E+00  0.00000E+00  8.73612E+00
    29.00000  8.86809E+00  0.00000E+00  0.00000E+00  8.86809E+00
    30.00000  8.96891E+00  0.00000E+00  0.00000E+00  8.96891E+00
    31.00000  9.04293E+00  0.00000E+00  0.00000E+00  9.04293E+00
    32.00000  9.09383E+00  0.00000E+00  0.00000E+00  9.09383E+00
    33.00000  9.12472E+00  0.00000E+00  0.00000E+00  9.12472E+00
    34.00000  9.13822E+00  0.00000E+00  0.00000E+00  9.13822E+00
    35.00000  9.13657E+00  0.00000E+00  0.00000E+00  9.13657E+00
    36.00000  9.12169E+00  0.00000E+00  0.00000E+00  9.12169E+00
    37.00000  9.09520E+00  0.00000E+00  0.00000E+00  9.09520E+00
    38.00000  9.05851E+00  0.00000E+00  0.00000E+00  9.05851E+00
    39.00000  9.01283E+00  0.00000E+00  0.00000E+00  9.01283E+00
    40.00000  8.95919E+00  0.00000E+00  0.00000E+00  8.95919E+00
    41.00000  8.89852E+00  0.00000E+00  0.00000E+00  8.89852E+00
    42.00000  8.83159E+00  0.00000E+00  0.00000E+00  8.83159E+00
    43.00000  8.75911E+00  0.00000E+00  0.00000E+00  8.75911E+00
    44.00000  8.97285E+00  0.00000E+00  2.91173E-01  8.68168E+00
    45.00000  8.91683E+00  0.00000E+00  3.16993E-01  8.59983E+00
    46.00000  8.85553E+00  0.00000E+00  3.41467E-01  8.51406E+00
    47.00000  8.78932E+00  0.00000E+00  3.64538E-01  8.42479E+00
    48.00000  8.71860E+00  0.00000E+00  3.86203E-01  8.33239E+00
    49.00000  8.64371E+00  0.00000E+00  4.06482E-01  8.23723E+00
    50.00000  8.56502E+00  0.00000E+00  4.25406E-01  8.13962E+00
    51.00000  8.48285E+00  0.00000E+00  4.43016E-01  8.03984E+00
    52.00000  8.39752E+00  0.00000E+00  4.59366E-01  7.93815E+00
    53.00000  8.30933E+00  0.00000E+00  4.74511E-01  7.83481E+00
    54.00000  8.21855E+00  0.00000E+00  4.88508E-01  7.73004E+00
    55.00000  8.12546E+00  0.00000E+00  5.01415E-01  7.62405E+00
    56.00000  8.03031E+00  0.00000E+00  5.13289E-01  7.51702E+00
    57.00000  7.93334E+00  0.00000E+00  5.24185E-01  7.40916E+00
    58.00000  7.83478E+00  0.00000E+00  5.34159E-01  7.30062E+00
    59.00000  7.73484E+00  0.00000E+00  5.43264E-01  7.19157E+00
    60.00000  7.63372E+00  0.00000E+00  5.51550E-01  7.08217E+00
    61.00000  7.53161E+00  0.00000E+00  5.59065E-01  6.97255E+00
    62.00000  7.42870E+00  0.00000E+00  5.65853E-01  6.86285E+00
    63.00000  7.32516E+00  0.00000E+00  5.71960E-01  6.75320E+00
    64.00000  7.22115E+00  0.00000E+00  5.77425E-01  6.64373E+00
    65.00000  7.11682E+00  0.00000E+00  5.82288E-01  6.53454E+00
    66.00000  7.01232E+00  0.00000E+00  5.86584E-01  6.42574E+00
    67.00000  6.90779E+00  0.00000E+00  5.90348E-01  6.31744E+00
    68.00000  6.80334E+00  0.00000E+00  5.93613E-01  6.20973E+00
    69.00000  6.69911E+00  0.00000E+00  5.96408E-01  6.10270E+00
    70.00000  6.59520E+00  0.00000E+00  5.98763E-01  5.99643E+00
    71.00000  6.49172E+00  0.00000E+00  6.00703E-01  5.89101E+00
    72.00000  6.38876E+00  0.00000E+00  6.02255E-01  5.78651E+00
    73.00000  6.28643E+00  0.00000E+00  6.03443E-01  5.68298E+00
    74.00000  6.18479E+00  0.00000E+00  6.04287E-01  5.58051E+00
    75.00000  6.08394E+00  0.00000E+00  6.04810E-01  5.47913E+00
    76.00000  5.98395E+00  0.00000E+00  6.05031E-01  5.37892E+00
    77.00000  5.88487E+00  0.00000E+00  6.04968E-01  5.27991E+00
    78.00000  5.78678E+00  0.00000E+00  6.04639E-01  5.18214E+00
    79.00000  5.68973E+00  0.00000E+00  6.04061E-01  5.08566E+00
    80.00000  5.59376E+00  0.00000E+00  6.03248E-01  4.99051E+00
    81.00000  5.49892E+00  0.00000E+00  6.02216E-01  4.89671E+00
    82.00000  5.40526E+00  0.00000E+00  6.00978E-01  4.80429E+00
    83.00000  5.31281E+00  0.00000E+00  5.99546E-01  4.71327E+00
    84.00000  5.22160E+00  0.00000E+00  5.97934E-01  4.62367E+00
    85.00000  5.13166E+00  0.00000E+00  5.96152E-01  4.53551E+00
    86.00000  5.04302E+00  0.00000E+00  5.94211E-01  4.44881E+00
    87.00000  4.95568E+00  0.00000E+00  5.92122E-01  4.36356E+00
    88.00000  4.86968E+00  0.00000E+00  5.89894E-01  4.27979E+00
    89.00000  4.78502E+00  0.00000E+00  5.87536E-01  4.19748E+00
    90.00000  4.70171E+00  0.00000E+00  5.85057E-01  4.11666E+00
    91.00000  4.61977E+00  0.00000E+00  5.82465E-01  4.03730E+00
    92.00000  4.53919E+00  0.00000E+00  5.79768E-01  3.95942E+00
    93.00000  4.45998E+00  0.00000E+00  5.76973E-01  3.88300E+00
    94.00000  4.38213E+00  0.00000E+00  5.74086E-01  3.80805E+00
    95.00000  4.30565E+00  0.00000E+00  5.71115E-01  3.73454E+00
    96.00000  4.23054E+00  0.00000E+00  5.68066E-01  3.66247E+00
    97.00000  4.15678E+00  0.00000E+00  5.64944E-01  3.59183E+00
    98.00000  4.08436E+00  0.00000E+00  5.61755E-01  3.52261E+00
    99.00000  4.01329E+00  0.00000E+00  5.58504E-01  3.45478E+00
   100.00000  3.94354E+00  0.00000E+00  5.55196E-01  3.38834E+00
   101.00000  3.87511E+00  0.00000E+00  5.51837E-01  3.32327E+00
   102.00000  3.80797E+00  0.00000E+00  5.48429E-01  3.25955E+00
   103.00000  3.74213E+00  0.00000E+00  5.44979E-01  3.19715E+00
   104.00000  3.67756E+00  0.00000E+00  5.41489E-01  3.13608E+00
   105.00000  3.61425E+00  0.00000E+00  5.37964E-01  3.07629E+00
   106.00000  3.55218E+00  0.00000E+00  5.34407E-01  3.01777E+00
   107.00000  3.49133E+00  0.00000E+00  5.30821E-01  2.96051E+00
   108.00000  3.43169E+00  0.00000E+00  5.27211E-01  2.90448E+00
   109.00000  3.37324E+00  0.00000E+00  5.23578E-01  2.84966E+00
   110.00000  3.31595E+00  0.00000E+00  5.19926E-01  2.79602E+00
   111.00000  3.25981E+00  0.00000E+00  5.16259E-01  2.74355E+00
   112.00000  3.20480E+00  0.00000E+00  5.12577E-01  2.69223E+00
   113.00000  3.15091E+00  0.00000E+00  5.08885E-01  2.64202E+00
   114.00000  3.09810E+00  0.00000E+00  5.05183E-01  2.59292E+00
   115.00000  3.04637E+00  0.00000E+00  5.01476E-01  2.54489E+00
   116.00000  2.99568E+00  0.00000E+00  4.97764E-01  2.49792E+00
   117.00000  2.94603E+00  0.00000E+00  4.94049E-01  2.45198E+00
   118.00000  2.89739E+00  0.00000E+00  4.90335E-01  2.40705E+00
   119.00000  2.84974E+00  0.00000E+00  4.86622E-01  2.36312E+00
   120.00000  2.80306E+00  0.00000E+00  4.82912E-01  2.32015E+00
   121.00000  2.75733E+00  0.00000E+00  4.79207E-01  2.27813E+00
   122.00000  2.71254E+00  0.00000E+00  4.75508E-01  2.23703E+00
   123.00000  2.66866E+00  0.00000E+00  4.71818E-01  2.19685E+00
   124.00000  2.62568E+00  0.00000E+00  4.68136E-01  2.15754E+00
   125.00000  2.58357E+00  0.00000E+00  4.64465E-01  2.11911E+00
   126.00000  2.54232E+00  0.00000E+00  4.60806E-01  2.08151E+00
   127.00000  2.50191E+00  0.00000E+00  4.57160E-01  2.04475E+00
   128.00000  2.46232E+00  0.00000E+00  4.53528E-01  2.00879E+00
