# ---------------------------------------------------------------------
# XATOM HFS : electronic structure of atoms and more, v2.0.0-15-g9da229
#
# Job started at  : 12-Oct-2024  8:21:34
# ---------------------------------------------------------------------
# ==============================================================================
# DUMP command line: -s Ne -pcs -PE 0-1050 -dE 1 -v 
# ==============================================================================
#
# Atom: Ne
#   nuclear charge:   10
#   total electrons:  10
#   total charge:     +0
#   configuration: 1s2_2s2_2p6
#
# Computational method:
#   exchange functional: Slater (Latter tail correction)
#   correlation functional: none
#
# SCF procedure:
#   max iteration =  100
#   convergence for energy  =  1.0E-07
#   convergence for density =  1.0E-06
#   mixing ratio =  0.60 of new potentials
#
# Grid for the spherical coordinate:
#   N =  200
#   L parameter =      1.0
#   Rmax(a.u.)  =     50.0
#   lmax  =    1
#
# iter    E(orb)   E(exch)   E(Coul)     E(J)*      E(total)     diff.
#    1 -200.0000  -24.1253  -73.0270  105.1941  -297.1523103  2.97E+02
#    2  -51.4126   -9.5740  -12.7211   25.4865   -73.7077670 -2.23E+02
#    3  -92.5379  -18.6608  -52.6103   77.4913  -163.8089861  9.01E+01
#    4  -74.2051  -16.8491  -45.2408   67.7062  -136.2950196 -2.75E+01
#    5  -72.3094  -16.9997  -45.8084   68.4747  -135.1175078 -1.18E+00
#    6  -71.1233  -16.9436  -45.5547   68.1462  -133.6215875 -1.50E+00
#    7  -70.8311  -16.9644  -45.6336   68.2527  -133.4290321 -1.93E-01
#    8  -70.6544  -16.9562  -45.5970   68.2053  -133.2076498 -2.21E-01
#    9  -70.6101  -16.9596  -45.6107   68.2235  -133.1804055 -2.72E-02
#   10  -70.5821  -16.9582  -45.6045   68.2155  -133.1448119 -3.56E-02
#   11  -70.5754  -16.9588  -45.6069   68.2187  -133.1411008 -3.71E-03
#   12  -70.5709  -16.9586  -45.6059   68.2173  -133.1353075 -5.79E-03
#   13  -70.5699  -16.9587  -45.6063   68.2178  -133.1348255 -4.82E-04
#   14  -70.5692  -16.9586  -45.6061   68.2176  -133.1338787 -9.47E-04
#   15  -70.5690  -16.9586  -45.6062   68.2177  -133.1338206 -5.82E-05
#   16  -70.5689  -16.9586  -45.6061   68.2176  -133.1336653 -1.55E-04
#   17  -70.5689  -16.9586  -45.6061   68.2176  -133.1336592 -6.11E-06
#   18  -70.5689  -16.9586  -45.6061   68.2176  -133.1336336 -2.56E-05
#   19  -70.5689  -16.9586  -45.6061   68.2176  -133.1336332 -4.39E-07
#   20  -70.5689  -16.9586  -45.6061   68.2176  -133.1336290 -4.22E-06
#   21  -70.5689  -16.9586  -45.6061   68.2176  -133.1336290  2.09E-08
# --------------------------------------------------------------------
#       -70.5689  -16.9586  -45.6061   68.2176  -133.1336290 converged
#
# SCF converged after   21 iterations
#   energy convergence  =  2.092E-08
#   density convergence =  4.990E-07
#
# Energies: 
# - zeroth-order energy (a.u.):
#   SUM of E_orb   =     -70.56886464  [     -1920.28 eV ]
#   (SUM of E_kin) =     132.75037885
#   (Effec. pot E) =    -203.31924349
#
# - first-order energy (a.u.): with DFT formula
#   Kinetic E      =     132.75037885
#   E Latter corr  =      -0.07669013
#   Nuc-Elec pot E =    -317.06633335    One-Elec E =    -184.39264463
#
#   Hartree E      =      68.21763872
#   Exchange E     =     -16.95862309
#   Correlation E  =       0.00000000    Two-Elec E =      51.25901563
#   ---------------------------------
#   Total Energy   =    -133.13362900  [     -3622.75 eV ]
#
#                E(0)        E(1)
# |E_TOT|    -1920.28    -3622.75
#
# Orbital energies: 
#        n_occ        E(a.u.)          E(eV)         KE(eV)
#   1s       2   -31.49465456    -857.013120    1273.910550
#   2s       2    -1.58368578     -43.094281     150.142665
#   2p       6    -0.73536400     -20.010272     127.369171
#
#              1s        2s        2p
# |SCF|   -857.01    -43.09    -20.01
#
# Radial wavefunction information (a.u.): (r_m: r_max where |u(r)| >  1.0E-08)
#              <r>       <r^2>         r_m   norm. err
#   1s       0.157       0.033       2.695     3.1E-07
#   2s       0.877       0.938      12.080    -2.4E-08
#   2p       0.933       1.168      17.390    -1.5E-08
#
# Uniform grid parameters for continuum states:
#   N_uniform             =    3488
#   continuum_rmax(a.u.)  =      17.442 (internally determined)
#   dr(a.u.)              =   5.00E-03
#   threshold to determine r_m =   1.00E-08
#   continuum_rmax is just right next to r_m in radial grid.
#
# Photoabsorption cross section (in Mb):
#   P.E.(eV)        Total          1s           2s           2p 
#
#                       P.E. =     0.00     n,l -        E,l             R_int
#
     0.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     1.00     n,l -        E,l             R_int
#
     1.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     2.00     n,l -        E,l             R_int
#
     2.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     3.00     n,l -        E,l             R_int
#
     3.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     4.00     n,l -        E,l             R_int
#
     4.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     5.00     n,l -        E,l             R_int
#
     5.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     6.00     n,l -        E,l             R_int
#
     6.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     7.00     n,l -        E,l             R_int
#
     7.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     8.00     n,l -        E,l             R_int
#
     8.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =     9.00     n,l -        E,l             R_int
#
     9.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    10.00     n,l -        E,l             R_int
#
    10.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    11.00     n,l -        E,l             R_int
#
    11.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    12.00     n,l -        E,l             R_int
#
    12.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    13.00     n,l -        E,l             R_int
#
    13.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    14.00     n,l -        E,l             R_int
#
    14.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    15.00     n,l -        E,l             R_int
#
    15.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    16.00     n,l -        E,l             R_int
#
    16.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    17.00     n,l -        E,l             R_int
#
    17.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    18.00     n,l -        E,l             R_int
#
    18.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    19.00     n,l -        E,l             R_int
#
    19.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    20.00     n,l -        E,l             R_int
#
    20.00000  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#
#                       P.E. =    21.00     n,l -        E,l             R_int
#                                           2 1 -     0.99 0       5.96004E-01
#                                           2 1 -     0.99 2       7.66683E-01
#
    21.00000  6.35376E+00  0.00000E+00  0.00000E+00  6.35376E+00
#
#                       P.E. =    22.00     n,l -        E,l             R_int
#                                           2 1 -     1.99 0       5.60080E-01
#                                           2 1 -     1.99 2       7.99281E-01
#
    22.00000  6.91965E+00  0.00000E+00  0.00000E+00  6.91965E+00
#
#                       P.E. =    23.00     n,l -        E,l             R_int
#                                           2 1 -     2.99 0       5.27929E-01
#                                           2 1 -     2.99 2       8.20606E-01
#
    23.00000  7.38923E+00  0.00000E+00  0.00000E+00  7.38923E+00
#
#                       P.E. =    24.00     n,l -        E,l             R_int
#                                           2 1 -     3.99 0       4.99004E-01
#                                           2 1 -     3.99 2       8.33843E-01
#
    24.00000  7.77737E+00  0.00000E+00  0.00000E+00  7.77737E+00
#
#                       P.E. =    25.00     n,l -        E,l             R_int
#                                           2 1 -     4.99 0       4.72851E-01
#                                           2 1 -     4.99 2       8.41133E-01
#
    25.00000  8.09651E+00  0.00000E+00  0.00000E+00  8.09651E+00
#
#                       P.E. =    26.00     n,l -        E,l             R_int
#                                           2 1 -     5.99 0       4.49090E-01
#                                           2 1 -     5.99 2       8.43978E-01
#
    26.00000  8.35708E+00  0.00000E+00  0.00000E+00  8.35708E+00
#
#                       P.E. =    27.00     n,l -        E,l             R_int
#                                           2 1 -     6.99 0       4.27411E-01
#                                           2 1 -     6.99 2       8.43464E-01
#
    27.00000  8.56784E+00  0.00000E+00  0.00000E+00  8.56784E+00
#
#                       P.E. =    28.00     n,l -        E,l             R_int
#                                           2 1 -     7.99 0       4.07556E-01
#                                           2 1 -     7.99 2       8.40390E-01
#
    28.00000  8.73612E+00  0.00000E+00  0.00000E+00  8.73612E+00
#
#                       P.E. =    29.00     n,l -        E,l             R_int
#                                           2 1 -     8.99 0       3.89308E-01
#                                           2 1 -     8.99 2       8.35356E-01
#
    29.00000  8.86809E+00  0.00000E+00  0.00000E+00  8.86809E+00
#
#                       P.E. =    30.00     n,l -        E,l             R_int
